 NS,EW,UD
-0.006,0.018,-0.018
0.011,0.002,-0.027
-0.017,0.013,-0.025
0.015,-0.019,-0.02
-0.026,0.01,-0.025
0.008,-0.017,-0.008
0.025,-0.014,0.006
0.001,-0.01,-0.002
0.007,-0.011,-0.029
-0.008,-0.005,-0.027
-0.011,0.005,0.012
0.002,0.004,-0.006
-0.001,-0.004,0
0.001,0.015,-0.032
0.006,-0.003,0.037
-0.011,0.014,-0.032
-0.002,0.001,-0.018
-0.015,0.005,0
-0.013,0.001,0.007
-0.007,-0.001,0.005
0.009,-0.019,-0.015
-0.003,-0.002,-0.001
-0.007,-0.001,0.004
0.025,0.014,-0.021
0.017,0.017,-0.007
0.005,-0.008,-0.007
0.016,0.008,-0.036
0,-0.006,-0.017
0.005,-0.014,-0.038
0.002,-0.001,0.01
0.014,0.005,-0.015
0.013,-0.004,0.023
0.003,0.006,-0.005
0.001,0.011,0.004
0.019,0.01,0.004
0.004,-0.007,-0.02
0.011,0.008,-0.011
0.008,0.017,0.001
0.011,-0.019,-0.03
0.001,0.01,-0.021
-0.007,-0.006,-0.011
0.007,-0.028,0.004
-0.008,0.021,-0.007
0.016,-0.002,-0.028
0.003,-0.013,0.006
-0.006,-0.006,-0.014
0.034,0.003,-0.03
-0.004,-0.024,-0.018
0.018,-0.025,-0.004
-0.011,-0.016,-0.023
-0.001,0.005,-0.013
0.026,0.006,-0.012
-0.001,0.005,-0.001
-0.006,-0.004,-0.014
-0.008,0.012,-0.005
-0.003,0.005,0.022
0.001,0.015,-0.021
0.001,-0.012,0.001
0.004,0.014,-0.007
-0.011,-0.012,0.025
0.008,0.01,-0.04
0.012,-0.001,0.006
-0.011,0.016,0.005
0.014,0.001,0.023
-0.018,-0.018,-0.013
-0.014,0.018,-0.031
-0.013,0.003,-0.009
0.015,0.01,-0.031
0.001,0.01,-0.024
0.006,0.006,-0.028
0.001,-0.004,0.006
0.003,-0.015,-0.001
0.004,0.024,0.005
-0.02,0.024,-0.001
-0.023,0.007,-0.023
-0.004,0.012,-0.034
0.008,0.006,-0.022
0.005,0.028,-0.032
0.008,-0.002,-0.007
-0.024,0.005,0.001
-0.004,-0.013,-0.04
0.01,0.001,-0.002
-0.011,0.008,-0.011
0.017,-0.002,-0.013
0.003,0.004,0.008
0.01,0.001,0.008
0.016,0.019,0.002
0.001,-0.012,-0.007
-0.002,0.011,-0.014
0.007,-0.004,-0.011
0.004,0.006,-0.011
0.026,-0.018,0.014
0.003,0.018,-0.002
0.004,0,0
-0.013,0,-0.004
-0.007,0.011,0.001
0.011,0.012,-0.007
0,0.002,-0.021
0.013,-0.017,-0.018
-0.017,-0.001,-0.011
-0.011,0.001,-0.012
-0.023,0.003,-0.021
0.015,0.006,0.013
-0.006,-0.02,-0.008
0.005,-0.006,0.018
0.006,-0.012,-0.016
-0.005,-0.009,-0.028
-0.007,0.007,-0.002
0.023,-0.01,0.005
0.015,-0.014,-0.013
0.008,-0.021,-0.024
0.017,-0.011,0.012
0.001,-0.004,-0.028
0.018,-0.022,-0.004
0.018,0.013,0.002
0.027,0.006,0.048
0.003,-0.004,-0.007
0.006,0.005,-0.011
0.01,-0.004,-0.018
0.032,0.007,0.015
-0.003,0.021,-0.01
0,0.005,-0.01
0.023,-0.003,0.007
0.007,-0.023,0.018
0.003,-0.014,-0.011
-0.007,0.001,-0.001
-0.007,0.017,0.025
0.012,-0.004,0.006
0.002,-0.004,0.019
-0.014,-0.01,-0.014
0.019,0.007,-0.001
-0.013,-0.001,-0.021
0.01,0.019,-0.013
-0.001,0,-0.029
0.023,-0.01,0.009
0.001,0.001,-0.026
0.004,-0.004,-0.02
0.004,-0.002,0.013
-0.012,-0.012,-0.001
0.002,-0.028,0.001
0.012,-0.002,-0.005
0.022,0.023,0.007
0.025,-0.008,-0.008
0.009,0.003,-0.018
0.002,-0.011,-0.028
0.011,-0.006,-0.014
-0.015,0.006,-0.009
0.014,0.001,-0.006
0.021,-0.011,-0.032
0.004,-0.007,0.009
0.005,-0.025,-0.001
-0.01,0.002,-0.008
0.004,-0.004,-0.026
0.003,0.021,-0.014
-0.002,0.008,-0.019
0.008,-0.001,-0.006
-0.01,-0.002,-0.006
0.006,0.011,-0.026
-0.011,0.004,-0.001
-0.001,0.006,-0.011
-0.006,0.016,-0.002
0.011,0.01,-0.002
0.004,-0.007,-0.018
0.019,0.006,0.004
-0.021,-0.005,0.014
-0.007,0.001,-0.044
-0.005,-0.004,-0.009
0.012,-0.01,-0.02
0.001,0.011,0.002
0.038,0.001,-0.012
0.006,-0.01,-0.001
0.002,-0.001,0.006
-0.01,0.003,0.017
0.006,0.009,0.004
-0.007,0.023,-0.028
0.002,-0.002,0.012
-0.008,-0.009,0.006
-0.015,-0.003,-0.006
0.001,0.004,-0.007
0.005,-0.017,0.017
-0.006,-0.001,-0.024
0,0.019,0.005
-0.015,0.005,-0.011
0,0.032,-0.006
-0.004,0.005,0.009
0.016,-0.007,0.003
-0.025,-0.001,0.01
0.016,0.027,-0.009
0.004,-0.01,0.01
0.007,0.004,-0.02
-0.013,0.026,0.008
0.002,-0.015,-0.003
-0.007,-0.002,-0.021
0.019,0.003,-0.023
-0.018,-0.005,0.005
-0.004,0.002,-0.031
-0.002,-0.009,-0.014
0.017,0.005,-0.037
-0.025,0,-0.01
0.012,0.003,-0.004
-0.025,0.004,-0.017
-0.014,0,-0.021
-0.003,0.006,-0.009
0.005,-0.004,-0.001
-0.008,-0.017,-0.019
-0.002,0.004,-0.008
0.014,0.033,-0.013
0.004,0.025,-0.019
0.008,0.017,-0.024
-0.015,-0.003,-0.011
-0.004,0.015,0.011
-0.018,-0.013,-0.036
0.021,-0.001,-0.004
0.001,-0.002,-0.015
0.007,-0.004,-0.006
0.013,-0.012,-0.026
-0.002,0.007,-0.033
-0.001,0.025,-0.014
0.015,-0.009,0.02
0.004,0.018,-0.039
0.009,-0.007,0.003
-0.028,-0.002,-0.007
-0.009,0.01,-0.019
-0.005,0.014,-0.022
-0.017,0,-0.003
-0.019,-0.017,0.016
0.009,-0.005,0.018
-0.01,-0.028,0.03
-0.016,0.019,-0.007
0.004,0.003,-0.014
-0.002,0.003,-0.039
-0.014,0,0.01
0.003,0.01,-0.008
-0.01,-0.001,0.011
-0.001,-0.041,-0.019
0.009,-0.024,0.003
0.022,0.01,-0.004
0.001,0.003,-0.005
-0.01,0.042,-0.004
-0.013,0.018,0.003
0.021,0,-0.014
0.031,-0.004,-0.014
0,0.014,0.008
0.023,0.023,0.011
-0.007,-0.005,-0.018
0.008,-0.001,-0.021
0.007,-0.001,-0.013
-0.005,0.005,0.001
0.003,-0.023,0.017
0.027,-0.026,-0.01
0.021,-0.002,0
-0.01,0.009,0.003
-0.012,-0.017,-0.017
0.018,0.021,-0.021
0.008,-0.003,0.043
-0.013,0.01,0.02
-0.012,-0.011,0.006
0.001,-0.002,-0.001
0.006,0.002,-0.005
0.003,-0.006,0.008
-0.006,0,-0.037
0.012,0.018,-0.017
-0.014,-0.007,0.001
-0.015,0.018,-0.015
0,-0.013,-0.013
-0.004,-0.007,0.016
0.005,-0.004,-0.013
0.008,-0.022,-0.01
-0.006,-0.004,-0.041
-0.016,0.016,0.012
-0.008,0.014,-0.028
0.004,0,0.003
-0.008,0.007,0.021
-0.017,0.012,0
-0.006,0.011,-0.002
0.026,0.011,-0.043
0.023,0.018,0.011
0.012,0.006,0.004
-0.004,-0.011,0.05
0.01,-0.021,0.011
0.025,-0.012,0.03
0.014,0,0.012
0.013,0.014,-0.034
0.014,0.03,-0.051
-0.01,0.018,0
-0.008,0.014,0.004
-0.002,0,0.011
0.01,-0.005,0.028
0.008,-0.007,-0.021
-0.006,0.013,0.003
0.019,-0.007,-0.025
-0.006,0,-0.013
0,0.014,-0.041
